"Customer.ID","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score","Segment"
12346,165.255555555556,11,372.86,1,5,2,"152","At Risk"
12347,3.21111111111111,2,1323.32,4,2,4,"424","Potential Loyalists"
12348,74.2097222222222,1,222.16,1,1,1,"111","Others"
12349,43.4847222222222,3,2671.14,2,3,5,"235","At Risk"
12351,11.1930555555556,1,300.93,4,1,2,"412","Potential Loyalists"
12352,11.4125,2,343.8,4,2,2,"422","Potential Loyalists"
12353,44.3034722222222,1,317.76,2,1,2,"212","Others"
12355,203.334722222222,1,488.21,0,1,2,"012","Others"
12356,16.3173611111111,3,3560.3,3,3,5,"335","Loyal Customers"
12357,24.2305555555556,2,12079.99,3,2,5,"325","Others"
12358,11.3784722222222,3,2719.01,4,3,5,"435","Loyal Customers"
12359,61.3645833333333,6,2563.36,2,4,5,"245","At Risk"
12360,15.3729166666667,5,1590.83,3,4,4,"344","Loyal Customers"
12361,98.1958333333333,3,321.35,1,3,2,"132","At Risk"
12362,374.410416666667,1,130,0,1,1,"011","Others"
12366,269.397916666667,1,500.24,0,1,3,"013","Others"
12368,264.170138888889,1,917.7,0,1,3,"013","Others"
12369,49.2833333333333,3,1791.15,2,3,4,"234","At Risk"
12370,260.327083333333,3,774.62,0,3,3,"033","At Risk"
12371,45.2666666666667,3,2179.42,2,3,5,"235","At Risk"
12373,260.258333333333,2,763.05,0,2,3,"023","Others"
12374,57.2708333333333,3,2246.29,2,3,5,"235","At Risk"
12376,25.3236111111111,2,503.15,3,2,3,"323","Others"
12377,17.0256944444444,2,1798.2,3,2,4,"324","Others"
12378,198.245833333333,1,1407.7,0,1,4,"014","Others"
12379,58.21875,2,767.98,2,2,3,"223","Others"
12380,101.213194444444,7,6951.49,1,5,5,"155","At Risk"
12385,15.1993055555556,1,1938.4,4,1,4,"414","Potential Loyalists"
12386,2.42222222222222,1,258.9,4,1,2,"412","Potential Loyalists"
12387,51.1486111111111,1,143.94,2,1,1,"211","Others"
12388,81.3055555555556,2,1120.45,1,2,4,"124","Others"
12389,38.3395833333333,3,1433.33,2,3,4,"234","At Risk"
12391,100.307638888889,5,2285.18,1,4,5,"145","At Risk"
12392,227.247916666667,1,234.75,0,1,1,"011","Others"
12393,18.1604166666667,2,816.85,3,2,3,"323","Others"
12395,7.14305555555556,4,2048.64,4,4,4,"444","Champions"
12396,310.277083333333,1,931.43,0,1,3,"013","Others"
12399,21.4638888888889,3,853.65,3,3,3,"333","Loyal Customers"
12400,50.2611111111111,1,205.25,2,1,1,"211","Others"
12402,28.4243055555556,5,1031.3,3,4,4,"344","Loyal Customers"
12403,157.348611111111,1,591.66,1,1,3,"113","Others"
12404,318.15,1,63.24,0,1,1,"011","Others"
12406,35.3465277777778,3,2975.06,3,3,5,"335","Loyal Customers"
12408,21.2777777777778,3,1452.22,3,3,4,"334","Loyal Customers"
12409,56.4006944444444,4,12346.62,2,4,5,"245","At Risk"
12410,138.274305555556,1,320.38,1,1,2,"112","Others"
12411,45.4416666666667,1,346.9,2,1,2,"212","Others"
12412,38.1243055555556,3,1370.05,2,3,4,"234","At Risk"
12413,38.2743055555556,1,241.35,2,1,1,"211","Others"
12414,99.2597222222222,3,390,1,3,2,"132","At Risk"
12415,11.2041666666667,7,19543.84,4,5,5,"455","Champions"
12416,292.404166666667,1,202.56,0,1,1,"011","Others"
12417,46.2319444444444,11,3148.31,2,5,5,"255","At Risk"
12418,49.3972222222222,3,1352.62,2,3,4,"234","At Risk"
12419,21.4145833333333,2,503.01,3,2,3,"323","Others"
12421,51.23125,2,291.56,2,2,2,"222","Others"
12422,30.2791666666667,14,4428.24,3,5,5,"355","Loyal Customers"
